"Ref","Value","Footprint"
"BT1","3xAAA 4.5V","Battery:BatteryHolder_Keystone_2479_3xAAA"
"C1,C7,C10","10n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"
"C2,C4-C6","47n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"
"C3,C8","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"
"C9,C12,C13","100u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"
"C11","22n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"
"D1","1N34A","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal"
"H1-H4","M2.5","MountingHole:MountingHole_2.7mm_M2.5"
"J1","SPEAKER 8R","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm"
"L1","AM loopstick","audio:Ferrite_Rod_Antenna_Coil"
"L2","42IF110 (red)","audio:Xicon_42IF10x"
"Q1-Q6","2N3904","Package_TO_SOT_THT:TO-92"
"R1","100k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"
"R2","39k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"
"R3,R6","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"
"R4,R7","47k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"
"R5","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"
"R8","15k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"
"R9,R15","680","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"
"R11","33k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"
"R12","12k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"
"R13,R16","330","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"
"R14","4k7","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"
"RV1","10k log","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical"
"SW1","POWER","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q"
"T1","42IF101 (yellow)","audio:Xicon_42IF10x"
"T2","42IF102 (white)","audio:Xicon_42IF10x"
"T3","42IF103 (black)","audio:Xicon_42IF10x"
"T4","42TU013","audio:Xicon_42TU200-RC"
"T5","42TU200","audio:Xicon_42TU200-RC"
"VC1","CBM-223P","audio:Polyvaricon_CBM-223P_Wired"
